res19,res48,res57,res68,res78,res83,res94,res01,res09,res15,res16
30.0,20.0,2.0,5.0,0.0,-0.0,-1.0,8.0,-3.0,-1.0,1.0
37.0,20.0,2.0,5.0,0.0,-0.0,-1.0,8.0,-3.0,-1.0,1.0
134.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
136.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
139.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
140.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
143.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
145.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,8.0
148.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
149.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
149.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
147.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
145.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,8.0
144.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
143.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
141.0,96.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
140.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
139.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
136.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
57.0,38.0,6.0,11.0,5.0,4.0,9.0,8.0,-0.0,1.0,1.0
5.0,-0.0,-7.0,-1.0,-10.0,-5.0,-12.0,-13.0,-8.0,-3.0,-3.0
-11.0,-21.0,-13.0,-1.0,-10.0,-5.0,-12.0,-13.0,-5.0,-3.0,-3.0
19.0,-2.0,1.0,5.0,-0.0,-0.0,-2.0,-3.0,-3.0,-1.0,-1.0
-9.0,-21.0,-8.0,-1.0,-5.0,-5.0,-12.0,-3.0,-5.0,-3.0,-1.0
19.0,-2.0,1.0,5.0,-0.0,-0.0,-2.0,-3.0,-3.0,-1.0,-1.0
15.0,-2.0,1.0,5.0,-0.0,-0.0,-2.0,7.0,-1.0,-1.0,1.0
82.0,55.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
83.0,55.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
85.0,55.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
86.0,55.0,23.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
87.0,55.0,23.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
88.0,55.0,23.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
