res19,res48,res57,res68,res78,res83,res94,res01,res09,res15,res16
876.0,1035.0,104.0,148.0,152.0,87.0,177.0,130.0,23.0,23.0,19.0
887.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
898.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
910.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
921.0,1035.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
932.0,1035.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
977.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,32.0,30.0,27.0
1023.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1073.0,1254.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1102.0,1254.0,140.0,193.0,193.0,119.0,254.0,130.0,32.0,30.0,27.0
1130.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1158.0,1327.0,158.0,193.0,193.0,135.0,254.0,165.0,32.0,30.0,35.0
1175.0,1327.0,158.0,193.0,193.0,135.0,254.0,165.0,32.0,30.0,35.0
1198.0,1400.0,158.0,193.0,193.0,135.0,254.0,165.0,32.0,36.0,35.0
1186.0,1400.0,158.0,193.0,193.0,135.0,254.0,165.0,32.0,30.0,35.0
736.0,781.0,106.0,110.0,99.0,74.0,111.0,35.0,16.0,6.0,6.0
640.0,708.0,88.0,88.0,79.0,58.0,77.0,35.0,-1.0,-1.0,6.0
448.0,429.0,53.0,67.0,41.0,27.0,4.0,-31.0,-9.0,-7.0,-9.0
504.0,422.0,70.0,65.0,59.0,27.0,38.0,0.0,-1.0,-1.0,-9.0
487.0,489.0,70.0,65.0,59.0,42.0,73.0,0.0,-1.0,-1.0,-2.0
487.0,422.0,70.0,65.0,41.0,27.0,38.0,-31.0,-1.0,-7.0,-9.0
538.0,495.0,53.0,88.0,41.0,27.0,38.0,-31.0,-1.0,-7.0,-9.0
926.0,1035.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
943.0,1108.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
960.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
972.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,32.0,23.0,27.0
989.0,1108.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
1006.0,1181.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
1023.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1034.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1034.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1017.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1006.0,1181.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
994.0,1108.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
989.0,1108.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
977.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,32.0,30.0,27.0
966.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
960.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
938.0,1108.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
481.0,556.0,70.0,65.0,59.0,42.0,73.0,0.0,7.0,5.0,-2.0
216.0,136.0,35.0,23.0,0.0,11.0,-35.0,-31.0,-18.0,-13.0,-17.0
103.0,-10.0,17.0,1.0,-20.0,-5.0,-74.0,-67.0,-10.0,-20.0,-17.0
323.0,263.0,34.0,41.0,37.0,25.0,-4.0,-4.0,-2.0,-8.0,-10.0
222.0,130.0,17.0,21.0,0.0,-5.0,-39.0,-67.0,-10.0,-20.0,-17.0
