SFH,TH,MFH,AB
3103923,407911,1343142,1817546
3239485,427748,1374364,1873677
3267732,448775,1427172,1929808
3363376,452040,1463334,1974713
3446731,455306,1493942,2019618
3483889,462829,1508518,2053296
3622609,472585,1553603,2098201
3628258,473402,1557933,2109427
3673827,475035,1569783,2131880
3679476,475851,1577395,2143107
3690775,483120,1606722,2165561
3690775,483120,1606722,2165561
3532636,474218,1533799,2066304
3435643,433821,1453446,1957425
3172120,421076,1375889,1848546
3082741,388412,1316927,1756463
3049210,390840,1296697,1739982
3043561,410351,1296064,1745552
3199122,420209,1373639,1843206
3334160,453673,1432141,1916411
3603598,466468,1536841,2060754
3483889,462829,1508518,2053296
3622609,472585,1553603,2098201
3633908,474218,1562571,2120654
3685126,482304,1594332,2154333
3775121,484753,1617599,2188011
3798680,507574,1641969,2221690
3863720,510840,1675354,2266596
3875018,512473,1691114,2289047
3959364,519179,1702877,2311499
4023653,521628,1730704,2345179
4023653,521628,1730704,2345179
4029303,522444,1747622,2356405
4029303,522444,1747622,2356405
4034952,523261,1754746,2367631
4029303,522444,1747622,2356405
4023653,521628,1727593,2324744
3911083,519995,1696614,2286960
3852443,513289,1669465,2245923
3472255,411264,1456674,1952963
3230635,375863,1300702,1729420
2330662,261984,881776,1143182
1419409,59757,242181,279890
1920592,202656,643341,818327
3077180,428564,1344214,1787350
3346427,449591,1430019,1941035
3435432,453673,1479404,1997165
3483889,462829,1508518,2053296
3628258,473402,1557933,2109427
3690775,483120,1606722,2165561
3798680,507574,1641969,2221690
3869369,511656,1686476,2277821
4023653,521628,1730704,2345179
4170515,532359,1791504,2423763
4252502,565754,1840385,2502345
4269450,568203,1870035,2536025
4394808,572660,1898493,2569704
4419469,584666,1926542,2603383
4430768,586299,1935002,2625834
4430768,586299,1935002,2625834
4312548,583850,1889413,2548954
3506314,443654,1442980,1917403
1879626,134398,510236,630970
1702318,100174,416592,504017
2836904,297969,1064381,1413020
3376611,407998,1431186,1913500
3730939,509207,1629553,2189793
4012355,519995,1696614,2289150
3734479,488214,1632056,2185332
4170515,532359,1791504,2423763
4198762,547176,1833364,2479894
4263801,567387,1862622,2524800
4400457,583033,1903132,2580930
4443027,587115,1950782,2637060
4611468,616390,1980415,2681966
4659925,620472,2029202,2738097
4783451,624555,2064052,2794228
4811698,633709,2100055,2850358
4843109,636975,2138561,2895263
4933104,639424,2165577,2928943
4998882,641057,2180075,2951394
5004532,644549,2191133,2962622
5054358,648523,2203220,2985074
5054358,648523,2203220,2985074
3878179,436135,1501360,2007917
2852206,293489,1016449,1314685
2291939,197513,685958,859955
1660347,87266,345913,400202
1313720,38782,139813,131752
1237304,32251,148430,128683
1493223,93152,300207,356479
1868171,164718,583417,736077
3578204,475851,1548622,2088757
3804329,508391,1647269,2232916
4012355,519995,1711568,2322727
4086169,528385,1769646,2401311
4246852,554193,1834611,2491119
4400457,583033,1903132,2580930
4565900,609120,1966765,2659512
4687806,621289,2030449,2749323
4806048,632892,2098808,2839133
4993233,640240,2171351,2940169
5177882,663340,2245859,3041204
5261466,717121,2300575,3108561
5362760,721203,2335733,3164692
5418107,729288,2357482,3198373
5456784,732554,2395409,3243277
5484666,733371,2406898,3254502
